ID,APP_NAME
1,Google Play Newsstand
2,"UC News-Latest News,Live Cricket Scores,Videos"
3,"NewsDog-India News,Local News,Hindi News"
3,Dailyhunt(Newshunt)News
4,AajTak
5,ABP LIVE News
6,JioExpressNews-Live India News
7,NDTV News-India
