ID,APP_NAME
1,Google Photos
2,PicsArt Photo Studio:Collage Maker & Pic Editor
3,B612-Selfegenic Camera
4,Slow motion camera and video
5,Photo Editor Pro
6,Photo Editor:Effects&Filters
7,Holo-Holograms for Videos in Augmented Reality
8,PicMix-Photos in Collages
9,Prisma
9,Pixlr-Free Photo Editor
10,"Candy Camera-Selfie,beauty camera,photo editor"
