ID,APP_NAME
1,Google Play Books
2,Oxford Dictionary of English Free
3,English Hindi Dictionary
4,Amazon Kindle
5,Solved 15 Years Jee main paper
6,"JEE MAINs,AIEEE & JEE Advance"
7,"Toppr-JEE Main,NEET,CBSE"
8,"PrepLane-IIT JEE,NEET/AIPMT"
9,infinite IIT JEE
10,ALLEN Test My Prep
