ID,APP_NAME
1,Gmail
2,WhatsApp Messenger
3,FB Messenger
4,Google Hangouts
5,Google Chrome
6,Samsung Push Service
7,imo free calls and chat
8,Truecaller:CallerID & Dialer
9,UC Browser:Fast download Private & Secure
10,Google Duo
11,Google Allo
12,Opera Mini-fast web browser
